id,nome,email,cpf,telefone,ano_nascimento,mes_nascimento,dia_nascimento
1, Tracy Sherman, irogers@example.net, 6672116647, 2296414299, 1997, 6, 14
2, Michael Smith, anne91@example.net, 1817946153, 3936171959, 1993, 9, 14
3, Lauren Kirby, katherine29@example.com, 5560152427, 4171894008, 2004, 4, 15
4, Jill Russo, pittmanrobert@example.org, 5750569219, 6614244479, 1997, 9, 19
5, Julie Coleman, villanicholas@example.com, 2516601012, 5015934372, 1998, 1, 11
6, Nicole Hood, hernandezrita@example.com, 3170901009, 2827328554, 1995, 4, 24
7, Gary Carpenter, patrick28@example.net, 7362922872, 8864068408, 1997, 9, 8
8, Carol Brewer, vking@example.org, 3461972261, 6116427761, 2004, 8, 19
9, Danielle Escobar, robertjimenez@example.com, 4913846734, 3417702126, 1991, 11, 29
10, David Morris, jennifermartin@example.org, 2154826028, 3437200841, 1997, 9, 4
